data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2023-10-31 01:58:47.327180;1023;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0910;M. BENZ;OF 1722M                                          ;2009-12-09;2009.0;DIESEL
2023-10-31 01:58:47.327180;1092;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0J19;M. BENZ;OF 1722M                                          ;2009-12-09;2009.0;DIESEL
2023-10-31 01:58:47.327180;2324;VIACAO BELEM NOVO LTDA;ISO1C97;M. BENZ;OF 1722                                           ;2011-12-04;2011.0;DIESEL
2023-10-31 01:58:47.327180;6757;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1453;M. BENZ;O-500M                                            ;2011-11-25;2011.0;DIESEL
2023-10-31 01:58:47.327180;4463;VIACAO ALTO PETROPOLIS LTDA;IRA1621;M. BENZ;O-500M                                            ;2010-08-07;2010.0;DIESEL
2023-10-31 01:58:47.327180;2138;VIACAO TERESOPOLIS CAVALHADA LTDA;ISK2224;M. BENZ;OF 1722                                           ;2011-10-22;2011.0;DIESEL
2023-10-31 01:58:47.327180;6525;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2624;M. BENZ;O-500M                                            ;2009-08-14;2009.0;DIESEL
2023-10-31 01:58:47.327180;4523;VIACAO ALTO PETROPOLIS LTDA;IQU3060;M. BENZ;O-500M                                            ;2010-05-15;2010.0;DIESEL
2023-10-31 01:58:47.327180;2498;RESTINGA TRANSPORTES COLETIVOS LTDA;ISM3382;M. BENZ;O-500M                                            ;2011-11-12;2011.0;DIESEL
2023-10-31 01:58:47.327180;742;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3785;M. BENZ;O-500M                                            ;2010-07-16;2010.0;DIESEL
2023-10-31 01:58:47.327180;738;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3J03;VOLVO                                             ;B7R                                               ;2010-07-16;2010.0;DIESEL
2023-10-31 01:58:47.327180;735;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3905;VOLVO                                             ;B7R                                               ;2010-07-16;2010.0;DIESEL
2023-10-31 01:58:47.327180;816;COMPANHIA CARRIS PORTO ALEGRENSE;ITX4389;VOLVO                                             ;B340M                                             ;2012-12-26;2012.0;DIESEL
